rank_test_score,param_kneighborsclassifier__n_neighbors,mean_fit_time,mean_score_time,mean_test_score,mean_train_score
1,1,0.007638216018676758,0.008239459991455079,0.5689124965054514,1.0
2,8,0.007307100296020508,0.009000492095947266,0.515739446463517,0.6469983894506107
3,11,0.0066321372985839845,0.009035921096801758,0.5034479545242754,0.6040170706606741
4,5,0.007033014297485351,0.008599042892456055,0.5020874103065884,0.7158973434656465
5,7,0.00704798698425293,0.00925583839416504,0.5020687727145654,0.6623491926903151
6,9,0.007199335098266602,0.00903167724609375,0.5007361848849129,0.625850771261287
7,6,0.007201051712036133,0.008853530883789063,0.4993197278911564,0.6886057991406526
8,10,0.007002925872802735,0.00859827995300293,0.49931040909514496,0.6166421498799355
9,4,0.007388019561767578,0.008430147171020507,0.4966452334358401,0.7411341291114069
10,13,0.006801080703735351,0.009047889709472656,0.4952474140341068,0.5920827252588798
11,12,0.0068282604217529295,0.008963441848754883,0.492498369210698,0.5995825362955038
12,14,0.007081842422485352,0.00866079330444336,0.48981455595937007,0.5845776813903053
13,2,0.006999349594116211,0.00810866355895996,0.48973068679526605,0.7939985231785384
14,3,0.007229137420654297,0.00859847068786621,0.4870934675239959,0.7564855137768837
15,15,0.006633567810058594,0.008861398696899414,0.48160469667318984,0.5750260188033096
16,16,0.007000112533569336,0.009042930603027344,0.47615320100643005,0.5586583018878895
17,19,0.006833267211914062,0.009231233596801757,0.4706737489516354,0.5402468733829096
18,17,0.006622314453125,0.008987951278686523,0.46658279750256265,0.5545668087283636
19,18,0.007544851303100586,0.008825731277465821,0.46112198303979124,0.5467239564860952
